,user,time,isOutlier,randX,popoutColor,randY,backgroundColor,selection,__collections__
6Q7CybatmQD7Y9r2aqFS,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952093, '_nanoseconds': 947000000}}",true,1494.952031754186,165,775.8683977734703,136,False,{}
6f4qqmoiCZuYW6nFu8uc,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886603, '_nanoseconds': 717000000}}",false,94.29320717555082,165,2.594675444640718,143,False,{}
6kuNanOynuoMYr848UZt,1,,,,,,,,{}
6qI4h7NRrgAMM12CwcO4,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886512, '_nanoseconds': 563000000}}",false,105.4957634571843,137,330.0818390620258,179,True,{}
6sNnrCVQQRDaSMA9YDTq,VtmPmqrVIdiD9dOoZjG6,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886517, '_nanoseconds': 949000000}}",true,628.4197026628144,169,124.83490690724655,157,False,{}
6tTQ4XUabd9orA0gmxAu,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886689, '_nanoseconds': 340000000}}",true,263.0863426909758,169,564.4715646832683,144,True,{}
70ZVdCFL7DISg75PZL8m,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886753, '_nanoseconds': 828000000}}",false,498.9430026277463,172,45.453535170518585,173,False,{}
71VFvkUqVufDBMIGlr20,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886770, '_nanoseconds': 582000000}}",true,411.3910641048911,178,496.7933340912952,172,True,{}
78tDgEeDwRmRqH0JEV2F,N9zhdB4dFq6g993Lu7gm,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581889775, '_nanoseconds': 995000000}}",false,650.8219110048193,143,755.7826232623752,121,False,{}
7Bo4VJEn6JLZoJpPnEQJ,7MBx4YWFKKhRBs2Q2ERX,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886205, '_nanoseconds': 215000000}}",false,554.5864101351585,158,502.9533658882539,126,False,{}
7D2xZweyVWYdMLzdGOat,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952214, '_nanoseconds': 706000000}}",true,1210.3899321526387,166,723.1569251889023,129,True,{}
7MBx4YWFKKhRBs2Q2ERX,1,,,,,,,,{}
7SFSwRdCHp9sp7dua3Xc,nSABhdzrcxaAoz63pOHH,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886757, '_nanoseconds': 408000000}}",false,836.6533060347468,159,366.88894274050466,128,True,{}
7ZNlnv9iwUwq8DDmwjDG,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952230, '_nanoseconds': 555000000}}",true,428.6895934751277,173,58.295185781316455,135,True,{}
7ZzK2Xmrxo541v6iTvde,1,,,,,,,,{}
7c2IXwmUdinufvrqPozz,FO1IiFnNxgbabBOUGZkw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886662, '_nanoseconds': 240000000}}",false,487.515786349868,137,1170.8001363237822,163,True,{}
7d6tK1Q2naT194uqA2WC,XqQ1lBsxdtGT6JFtLq7H,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886385, '_nanoseconds': 681000000}}",true,198.09108091724747,131,379.2377187040722,178,True,{}
7djq5SUpWryuDnmiCkVP,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952159, '_nanoseconds': 242000000}}",false,857.4021452588889,159,587.1987870206128,153,False,{}
7mLSUbaFWyGihsCvrzR7,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952162, '_nanoseconds': 480000000}}",true,638.0930982722216,176,28.672990241826366,171,False,{}
7rBzNK5TaRag1074UEfZ,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952188, '_nanoseconds': 185000000}}",true,54.44788532973533,123,318.3781484004232,150,False,{}
7sAg3eX767bHHCzAzjP6,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886701, '_nanoseconds': 764000000}}",false,146.46333799022023,180,671.5103473475284,146,True,{}
